startTime,endTime,fdn,subNetwork,meContext,managedElement,kpiJobId,siteId,cellId,sector,easting,northing,azimuth,DL_PRB_UTIL_PCT,ACTIVE_RRC_CONN_UES,DL_CELL_THP_MBPS,AVG_CQI,AVG_SINR_DB,AVG_RSRP_DBM
2026-06-28 02:30:00,2026-06-28 02:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,43.54,186.0,218.97,12.08,20.76,-82.36
2026-06-28 02:45:00,2026-06-28 03:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,52.09,212.0,242.09,11.79,20.59,-79.09
2026-06-28 03:00:00,2026-06-28 03:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,48.03,203.0,228.16,11.0,20.31,-81.5
2026-06-28 03:15:00,2026-06-28 03:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,54.63,241.0,241.5,10.42,18.34,-81.38
2026-06-28 03:30:00,2026-06-28 03:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,53.37,217.0,235.93,10.61,18.93,-81.62
2026-06-28 03:45:00,2026-06-28 04:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,58.87,239.0,251.47,10.76,19.05,-80.93
2026-06-28 04:00:00,2026-06-28 04:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,53.82,222.0,237.8,10.23,18.65,-82.98
2026-06-28 04:15:00,2026-06-28 04:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,40.55,174.0,190.26,10.82,19.45,-85.07
2026-06-28 04:30:00,2026-06-28 04:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,46.73,188.0,218.13,10.47,19.84,-82.8
2026-06-28 04:45:00,2026-06-28 05:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,42.06,168.0,218.06,10.76,19.15,-81.38
2026-06-28 05:00:00,2026-06-28 05:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,45.2,193.0,218.33,10.44,18.23,-83.77
2026-06-28 05:15:00,2026-06-28 05:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,57.77,240.0,250.51,10.02,17.82,-83.06
2026-06-28 05:30:00,2026-06-28 05:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,56.11,216.0,241.57,10.11,19.07,-83.68
2026-06-28 05:45:00,2026-06-28 06:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,49.34,194.0,216.53,10.89,18.78,-80.66
2026-06-28 06:00:00,2026-06-28 06:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,47.39,205.0,213.74,10.89,19.27,-81.59
2026-06-28 06:15:00,2026-06-28 06:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,54.36,226.0,248.23,10.49,19.22,-81.89
2026-06-28 06:30:00,2026-06-28 06:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,50.36,202.0,220.33,10.22,18.31,-81.83
2026-06-28 06:45:00,2026-06-28 07:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,54.21,222.0,233.54,10.26,19.32,-82.79
2026-06-28 07:00:00,2026-06-28 07:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,61.87,254.0,257.78,10.03,18.45,-82.67
2026-06-28 07:15:00,2026-06-28 07:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,69.46,291.0,263.81,9.17,16.22,-84.66
2026-06-28 07:30:00,2026-06-28 07:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,69.4,276.0,287.42,11.15,19.16,-85.96
2026-06-28 07:45:00,2026-06-28 08:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,55.05,220.0,236.28,9.9,17.89,-82.56
2026-06-28 08:00:00,2026-06-28 08:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,68.13,282.0,264.18,9.41,15.83,-82.66
2026-06-28 08:15:00,2026-06-28 08:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,69.93,287.0,268.15,9.25,16.4,-81.56
2026-06-28 08:30:00,2026-06-28 08:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,72.81,303.0,278.78,9.46,16.25,-81.16
2026-06-28 08:45:00,2026-06-28 09:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,81.04,324.0,304.69,9.64,16.94,-81.37
2026-06-28 09:00:00,2026-06-28 09:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,64.01,266.0,267.04,10.3,17.6,-84.28
2026-06-28 09:15:00,2026-06-28 09:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,70.81,299.0,278.43,9.59,17.12,-83.61
2026-06-28 09:30:00,2026-06-28 09:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,80.53,334.0,304.46,9.44,17.59,-82.77
2026-06-28 09:45:00,2026-06-28 10:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,72.39,299.0,283.16,9.59,17.77,-79.9
2026-06-28 10:00:00,2026-06-28 10:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,89.49,367.0,256.28,9.41,16.72,-81.7
2026-06-28 10:15:00,2026-06-28 10:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,87.72,355.0,267.97,9.25,16.93,-82.12
2026-06-28 10:30:00,2026-06-28 10:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,90.67,372.0,260.92,9.85,16.98,-84.15
2026-06-28 10:45:00,2026-06-28 11:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,83.43,352.0,272.15,8.37,14.42,-84.62
2026-06-28 11:00:00,2026-06-28 11:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,89.1,365.0,268.81,10.09,15.99,-82.58
2026-06-28 11:15:00,2026-06-28 11:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,90.37,365.0,226.67,7.7,13.92,-85.07
2026-06-28 11:30:00,2026-06-28 11:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,84.51,344.0,281.01,9.66,16.71,-83.81
2026-06-28 11:45:00,2026-06-28 12:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,81.83,338.0,297.16,9.25,16.83,-83.58
2026-06-28 12:00:00,2026-06-28 12:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,79.93,326.0,314.17,10.05,18.1,-81.31
2026-06-28 12:15:00,2026-06-28 12:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,71.6,298.0,297.17,10.58,18.75,-83.63
2026-06-28 12:30:00,2026-06-28 12:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,72.77,303.0,281.22,9.18,17.6,-86.37
2026-06-28 12:45:00,2026-06-28 13:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,72.33,304.0,286.02,9.73,16.85,-82.54
2026-06-28 13:00:00,2026-06-28 13:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,74.94,318.0,310.62,10.74,17.78,-84.16
2026-06-28 13:15:00,2026-06-28 13:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,78.94,331.0,303.68,9.3,16.42,-83.3
2026-06-28 13:30:00,2026-06-28 13:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,68.52,275.0,284.9,10.1,17.63,-83.21
2026-06-28 13:45:00,2026-06-28 14:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,71.91,289.0,297.25,10.77,18.51,-83.54
2026-06-28 14:00:00,2026-06-28 14:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,81.49,334.0,303.32,9.31,16.24,-82.39
2026-06-28 14:15:00,2026-06-28 14:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,71.14,289.0,288.98,10.14,18.36,-85.15
2026-06-28 14:30:00,2026-06-28 14:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,68.99,276.0,277.52,9.54,18.35,-83.78
2026-06-28 14:45:00,2026-06-28 15:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,74.37,303.0,291.25,9.59,16.23,-82.35
2026-06-28 15:00:00,2026-06-28 15:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,79.0,321.0,312.08,10.17,18.07,-84.16
2026-06-28 15:15:00,2026-06-28 15:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,75.41,305.0,291.18,9.82,17.99,-85.36
2026-06-28 15:30:00,2026-06-28 15:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,82.71,338.0,299.44,9.71,16.89,-82.58
