cellId,fdn,neighbourCellId,neighbourFdn,rank,distance_m,cosited,bearing_deg,azimuth_diff_deg
96,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd096",239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",7,1130.64,False,82.1,96.5
96,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd096",518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",8,1130.64,False,82.1,96.5
224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",1,0.0,True,,
224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",2,0.0,True,,
224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",285,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=229,EUtranCellFDD=eutranCellFdd285",3,1052.26,False,350.4,142.6
224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",829,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=229,EUtranCellFDD=eutranCellFdd829",4,1052.26,False,350.4,142.6
224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",891,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=229,EUtranCellFDD=eutranCellFdd891",5,1052.26,False,350.4,142.6
224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",6,1119.97,False,111.4,96.4
224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",7,1119.97,False,111.4,96.4
224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",8,1119.97,False,111.4,96.4
239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",1,0.0,True,,
239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",2,0.0,True,,
239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",285,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=229,EUtranCellFDD=eutranCellFdd285",3,1052.26,False,350.4,22.6
239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",829,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=229,EUtranCellFDD=eutranCellFdd829",4,1052.26,False,350.4,22.6
239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",891,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=229,EUtranCellFDD=eutranCellFdd891",5,1052.26,False,350.4,22.6
239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",6,1119.97,False,111.4,143.6
239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",7,1119.97,False,111.4,143.6
239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",8,1119.97,False,111.4,143.6
518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",1,0.0,True,,
518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",2,0.0,True,,
518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",285,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=229,EUtranCellFDD=eutranCellFdd285",3,1052.26,False,350.4,97.4
518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",829,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=229,EUtranCellFDD=eutranCellFdd829",4,1052.26,False,350.4,97.4
518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",891,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=229,EUtranCellFDD=eutranCellFdd891",5,1052.26,False,350.4,97.4
518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",6,1119.97,False,111.4,23.6
518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",7,1119.97,False,111.4,23.6
518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",8,1119.97,False,111.4,23.6
617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",1,0.0,True,,
617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",2,0.0,True,,
617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",204,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd204",3,792.58,False,88.8,6.8
617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",734,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd734",4,792.58,False,88.8,6.8
617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",666,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd666",5,792.58,False,88.8,6.8
617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",7,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007",6,1063.73,False,357.4,84.6
617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",778,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd778",7,1063.73,False,357.4,84.6
617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",826,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd826",8,1063.73,False,357.4,84.6
28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",1,0.0,True,,
28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",2,0.0,True,,
28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",204,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd204",3,792.58,False,88.8,113.2
28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",734,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd734",4,792.58,False,88.8,113.2
28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",666,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd666",5,792.58,False,88.8,113.2
28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",7,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007",6,1063.73,False,357.4,155.4
28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",778,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd778",7,1063.73,False,357.4,155.4
28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",826,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd826",8,1063.73,False,357.4,155.4
575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",1,0.0,True,,
575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",2,0.0,True,,
575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",204,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd204",3,792.58,False,88.8,126.8
575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",734,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd734",4,792.58,False,88.8,126.8
575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",666,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd666",5,792.58,False,88.8,126.8
575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",7,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007",6,1063.73,False,357.4,35.4
575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",778,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd778",7,1063.73,False,357.4,35.4
575,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd575",826,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd826",8,1063.73,False,357.4,35.4
204,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd204",734,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd734",1,0.0,True,,
204,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd204",666,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd666",2,0.0,True,,
204,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd204",617,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd617",3,792.58,False,268.8,175.0
204,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=760,EUtranCellFDD=eutranCellFdd204",28,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=26,EUtranCellFDD=eutranCellFdd028",4,792.58,False,268.8,175.0
